
# Surface 0 of 1 surfaces

# Curve title: "'$cloud'"

# IsoCurve 0, 50 points
# x y z type
 599.878  769.163  14.7941 i
 599.878  800.898  14.9339 i
 599.878  832.633  15.1271 i
 599.878  864.367  15.4154 i
 599.878  896.102  15.8911 i
 599.878  927.837  16.7476 i
 599.878  959.571  17.5315 i
 599.878  991.306  16.3732 i
 599.878  1023.04  15.1308 i
 599.878  1054.78  14.9451 i
 599.878  1086.51  14.2389 i
 599.878  1118.24  13.9162 i
 599.878  1149.98  13.8016 i
 599.878  1181.71  13.4251 i
 599.878  1213.45  13.1337 i
 599.878  1245.18  12.8053 i
 599.878  1276.92  14.6192 i
 599.878  1308.65  13.2275 i
 599.878  1340.39  13.4664 i
 599.878  1372.12  13.7198 i
 599.878  1403.86  14.2887 i
 599.878  1435.59  14.8761 i
 599.878  1467.33  15.4308 i
 599.878  1499.06  15.8319 i
 599.878  1530.8  15.936 i
 599.878  1562.53  15.8829 i
 599.878  1594.27  15.8352 i
 599.878  1626  15.8652 i

# IsoCurve 4, 50 points
# x y z type
 586.837  71  14.1797 i
 586.837  102.735  14.1821 i
 586.837  134.469  14.1854 i
 586.837  166.204  14.1895 i
 586.837  197.939  14.1944 i
 586.837  229.673  14.2002 i
 586.837  261.408  14.2068 i
 586.837  293.143  14.2145 i
 586.837  324.878  14.2235 i
 586.837  356.612  14.2341 i
 586.837  388.347  14.2466 i
 586.837  420.082  14.2612 i
 586.837  451.816  14.2785 i
 586.837  483.551  14.2989 i
 586.837  515.286  14.3229 i
 586.837  547.02  14.3512 i
 586.837  578.755  14.3848 i
 586.837  610.49  14.4247 i
 586.837  642.224  14.4722 i
 586.837  673.959  14.5294 i
 586.837  705.694  14.5988 i
 586.837  737.429  14.6846 i
 586.837  769.163  14.793 i
 586.837  800.898  14.9351 i
 586.837  832.633  15.1317 i
 586.837  864.367  15.4264 i
 586.837  896.102  15.9211 i
 586.837  927.837  16.8787 i
 586.837  959.571  19.2822 i
 586.837  991.306  16.4111 i
 586.837  1023.04  15.1329 i
 586.837  1054.78  14.7277 i
 586.837  1086.51  14.0906 i
 586.837  1118.24  13.8971 i
 586.837  1149.98  13.5873 i
 586.837  1181.71  13.1732 i
 586.837  1213.45  12.7168 i
 586.837  1245.18  13.2519 i
 586.837  1276.92  13.2128 i
 586.837  1308.65  13.2122 i
 586.837  1340.39  13.3655 i
 586.837  1372.12  13.5476 i
 586.837  1403.86  14.295 i
 586.837  1435.59  15.0394 i
 586.837  1467.33  15.5559 i
 586.837  1499.06  15.9562 i
 586.837  1530.8  16.2853 i
 586.837  1562.53  16.0826 i
 586.837  1594.27  15.9452 i
 586.837  1626  15.9606 i

# IsoCurve 5, 50 points
# x y z type
 573.796  71  14.1742 i
 573.796  102.735  14.1765 i
 573.796  134.469  14.1798 i
 573.796  166.204  14.184 i
 573.796  197.939  14.1888 i
 573.796  229.673  14.1945 i
 573.796  261.408  14.201 i
 573.796  293.143  14.2085 i
 573.796  324.878  14.2173 i
 573.796  356.612  14.2277 i
 573.796  388.347  14.2399 i
 573.796  420.082  14.2543 i
 573.796  451.816  14.2714 i
 573.796  483.551  14.2916 i
 573.796  515.286  14.3155 i
 573.796  547.02  14.3438 i
 573.796  578.755  14.3774 i
 573.796  610.49  14.4174 i
 573.796  642.224  14.4653 i
 573.796  673.959  14.5229 i
 573.796  705.694  14.593 i
 573.796  737.429  14.6795 i
 573.796  769.163  14.7889 i
 573.796  800.898  14.9318 i
 573.796  832.633  15.1286 i
 573.796  864.367  15.422 i
 573.796  896.102  15.9164 i
 573.796  927.837  16.913 i
 573.796  959.571  19.2883 i
 573.796  991.306  16.3161 i
 573.796  1023.04  15.0852 i
 573.796  1054.78  14.5656 i
 573.796  1086.51  14.0117 i
 573.796  1118.24  13.7969 i
 573.796  1149.98  13.4096 i
 573.796  1181.71  12.8511 i
 573.796  1213.45  12.9778 i
 573.796  1245.18  13.0907 i
 573.796  1276.92  13.1074 i
 573.796  1308.65  13.0877 i
 573.796  1340.39  13.1495 i
 573.796  1372.12  12.7932 i
 573.796  1403.86  13.8544 i
 573.796  1435.59  15.3078 i
 573.796  1467.33  15.8494 i
 573.796  1499.06  16.2692 i
 573.796  1530.8  17.0333 i
 573.796  1562.53  16.3286 i
 573.796  1594.27  16.0547 i
 573.796  1626  16.06 i

# IsoCurve 6, 50 points
# x y z type
 560.755  71  14.1683 i
 560.755  102.735  14.1705 i
 560.755  134.469  14.1739 i
 560.755  166.204  14.1782 i
 560.755  197.939  14.1831 i
 560.755  229.673  14.1886 i
 560.755  261.408  14.195 i
 560.755  293.143  14.2023 i
 560.755  324.878  14.2109 i
 560.755  356.612  14.221 i
 560.755  388.347  14.2329 i
 560.755  420.082  14.2471 i
 560.755  451.816  14.2639 i
 560.755  483.551  14.2839 i
 560.755  515.286  14.3075 i
 560.755  547.02  14.3357 i
 560.755  578.755  14.3692 i
 560.755  610.49  14.4092 i
 560.755  642.224  14.4572 i
 560.755  673.959  14.515 i
 560.755  705.694  14.5854 i
 560.755  737.429  14.6723 i
 560.755  769.163  14.7818 i
 560.755  800.898  14.924 i
 560.755  832.633  15.1181 i
 560.755  864.367  15.4035 i
 560.755  896.102  15.8769 i
 560.755  927.837  16.8349 i
 560.755  959.571  19.2735 i
